ISBN,レーベル名,レーベル名カナ,タイトル,出版社名,出版社名カナ,作者名,作者名カナ,発売日,本体価格,版型
9784758078115,百合姫コミックス,ユリヒメコミックス,2DK、Gペン、目覚まし時計。 7,一迅社,イチジンシャ,大沢やよい,オオサワヤヨイ,2018-05-18,680,B6
9784758078924,百合姫コミックス,ユリヒメコミックス,2DK、Gペン、目覚まし時計。 8,一迅社,イチジンシャ,大沢やよい,オオサワヤヨイ,2018-12-18,880,B6
9784758078429,百合姫コミックス,ユリヒメコミックス,夢の中で君を探して 1,一迅社,イチジンシャ,織尾あや,オリュウアヤ,2018-07-18,680,B6
9784758075077,百合姫コミックス,ユリヒメコミックス,ラストワルツ 1,一迅社,イチジンシャ,片倉アコ,カタクラアコ,2015-12-18,680,B6
9784758075527,百合姫コミックス,ユリヒメコミックス,ラストワルツ 2,一迅社,イチジンシャ,片倉アコ,カタクラアコ,2016-06-18,680,B6
9784758078122,百合姫コミックス,ユリヒメコミックス,昼下がりに、また。 1,一迅社,イチジンシャ,片倉アコ,カタクラアコ,2018-05-18,680,B6
9784758077859,百合姫コミックス,ユリヒメコミックス,しおりを探すページたち 1,一迅社,イチジンシャ,くもすずめ,クモスズメ,2018-02-16,680,B6
9784758078672,百合姫コミックス,ユリヒメコミックス,しおりを探すページたち 2,一迅社,イチジンシャ,くもすずめ,クモすずめ,2018-09-18,680,B6
9784758074339,百合姫コミックス,ユリヒメコミックス,捏造トラップ-NTR- 1,一迅社,イチジンシャ,コダマナオコ,コダマナオコ,2015-06-18,680,B6
9784758075220,百合姫コミックス,ユリヒメコミックス,完全版 不自由セカイ,一迅社,イチジンシャ,コダマナオコ,コダマナオコ,2016-02-18,680,B6
9784758075282,百合姫コミックス,ユリヒメコミックス,捏造トラップ-NTR- 2,一迅社,イチジンシャ,コダマナオコ,コダマナオコ,2016-03-18,680,B6
9784758075848,百合姫コミックス,ユリヒメコミックス,完全版 コキュートス,一迅社,イチジンシャ,コダマナオコ,コダマナオコ,2016-07-16,680,B6
9784758076159,百合姫コミックス,ユリヒメコミックス,捏造トラップ-NTR- 3,一迅社,イチジンシャ,コダマナオコ,コダマナオコ,2016-11-18,680,B6
9784758076593,百合姫コミックス,ユリヒメコミックス,捏造トラップ-NTR- 4,一迅社,イチジンシャ,コダマナオコ,コダマナオコ,2017-04-18,680,B6
