ISBN,レーベル名,レーベル名カナ,タイトル,出版社名,出版社名カナ,作者名,作者名カナ,発売日,本体価格,版型
9784091287069,サンデーうぇぶりコミックス,サンデーウェブリコミックス,はなにあらし 3,小学館,ショウガクカン,古鉢るか,コバチルカ,2018-11-12,600,B6
9784091288578,サンデーうぇぶりコミックス,サンデーウェブリコミックス,はなにあらし 4,小学館,ショウガクカン,古鉢るか,コバチルカ,2019-02-12,600,B6
9784091287557,裏少年サンデーコミックス,ウラショウネンサンデーコミックス,付き合ってあげてもいいかな 1,小学館,ショウガクカン,たみふる,タミフル,2018-01-18,591,B6
9784785959883,ヤングキングコミックス,ヤングキングコミックス,ブラックリリィと白百合ちゃん 1,少年画報社,ショウネンガホウシャ,鳳まひろ,オオトリマヒロ,2017-04-10,545,B6
9784785960797,ヤングキングコミックス,ヤングキングコミックス,ブラックリリィと白百合ちゃん 2,少年画報社,ショウネンガホウシャ,鳳まひろ,オオトリマヒロ,2017-09-11,565,B6
9784785961749,ヤングキングコミックス,ヤングキングコミックス,ブラックリリィと白百合ちゃん 3,少年画報社,ショウネンガホウシャ,鳳まひろ,オオトリマヒロ,2018-03-10,620,B6
9784785962814,ヤングキングコミックス,ヤングキングコミックス,ブラックリリィと白百合ちゃん 4,少年画報社,ショウネンガホウシャ,鳳まひろ,オオトリマヒロ,2018-09-10,630,B6
9784785963309,ヤングキングコミックス,ヤングキングコミックス,アタシのセンパイ,少年画報社,ショウネンガホウシャ,しおやてるこ,シオヤテルコ,2018-11-15,680,B6
9784403671500,まんがタイムきららコミックスつぼみ,マンガタイムキララコミックスツボミ,終電にはかえします,新書館,シンショカン,雨隠ギド,アマガクレギド,2013-11-30,720,B6
9784757557277,ガンガンコミックスJOKER,ガンガンコミックスジョーカー,ガールズ×セクハライフ 1,スクウェア・エニックス,スクウェアエニックス,河合朗,カワイロウ,2018-05-22,500,B6
9784801964709,バンブーコミックス,バンブーコミックス,できそこないの姫君たち 1,竹書房,タケショボウ,アジイチ,アジイチ,2018-12-21,660,B6
